"","UF","COD_MUN_IBGE","SIGLA_PARTIDO","QTDE_VOTOS_2012","vote_pct_2012","win_margin_2012","incumbent_2012","QTDE_VOTOS_2016","vote_pct_2016","elected_2016"
"6594","MG",3116001,"PP",1595,0.40125786163522,-0.19748427672956,0,NA,NA,NA
"6595","MG",3116100,"PSL",3982,0.618035076827565,0.23607015365513,1,NA,NA,NA
"6596","MG",3116100,"DEM",2461,0.381964923172435,-0.23607015365513,0,NA,NA,NA
"6597","MG",3116159,"PMDB",3167,0.547923875432526,0.0958477508650519,1,1906,0.287134679120217,0
"6598","MG",3116159,"PSDB",2613,0.452076124567474,-0.0958477508650519,0,NA,NA,NA
"6599","MG",3116209,"PT",1456,0.524118070554356,0.0482361411087113,1,NA,NA,NA
"6600","MG",3116209,"PSD",1322,0.475881929445644,-0.0482361411087113,0,753,0.307975460122699,0
"6601","MG",3116308,"PTB",2625,0.596455351056578,0.192910702113156,1,NA,NA,NA
"6602","MG",3116308,"PSDB",1776,0.403544648943422,-0.192910702113156,0,NA,NA,NA
"6603","MG",3116407,"PSD",2236,0.55663430420712,0.11326860841424,1,829,0.203036982610825,0
"6604","MG",3116407,"PSDB",1781,0.44336569579288,-0.11326860841424,0,1533,0.375459221160911,0
"6605","MG",3116506,"PMDB",3385,0.518138680544926,0.103780805143119,1,2638,0.424798711755233,0
"6606","MG",3116506,"PTB",2707,0.414357875401806,-0.103780805143119,0,NA,NA,NA
"6607","MG",3116506,"PSDB",441,0.067503444053268,-0.450635236491658,0,NA,NA,NA
"6608","MG",3116605,"PRTB",6658,0.434198513108126,0.0869310029998696,1,6366,0.396511990034257,1
"6609","MG",3116605,"PV",5325,0.347267510108256,-0.0869310029998696,0,NA,NA,NA
"6610","MG",3116605,"PSDC",2876,0.187557062736403,-0.246641450371723,0,NA,NA,NA
"6611","MG",3116605,"PT",475,0.0309769140472153,-0.40322159906091,0,NA,NA,NA
"6612","MG",3116704,"PDT",2742,0.544804291674945,0.0896085833498907,1,1566,0.300575815738964,0
"6613","MG",3116704,"PSB",2291,0.455195708325055,-0.0896085833498907,0,NA,NA,NA
"6614","MG",3116803,"PT",3041,0.599329917225069,0.198659834450138,1,1568,0.295180722891566,0
"6615","MG",3116803,"PTC",2033,0.400670082774931,-0.198659834450138,0,NA,NA,NA
"6616","MG",3116902,"PSB",1316,0.585148955091152,0.170297910182303,1,NA,NA,NA
"6617","MG",3116902,"DEM",933,0.414851044908848,-0.170297910182303,0,NA,NA,NA
"6618","MG",3117009,"PSB",3970,1,NA,1,2240,0.484638684552142,1
"6619","MG",3117108,"PTB",2812,0.441999371266897,0.0418107513360578,1,3323,0.504478518293609,1
"6620","MG",3117108,"PT do B",2546,0.400188619930839,-0.0418107513360578,0,NA,NA,NA
"6621","MG",3117108,"PT",1004,0.157812008802263,-0.284187362464634,0,NA,NA,NA
"6622","MG",3117207,"PSDB",1247,0.530864197530864,0.0617283950617284,1,NA,NA,NA
"6623","MG",3117207,"PTB",1102,0.469135802469136,-0.0617283950617284,0,1237,0.525488530161427,1
"6624","MG",3117306,"PMDB",8120,0.553699284009546,0.107398568019093,1,9289,0.587576696818268,1
"6625","MG",3117306,"DEM",6545,0.446300715990453,-0.107398568019093,0,6520,0.412423303181732,0
"6626","MG",3117405,"PR",1871,0.575869498307171,0.151738996614343,1,NA,NA,NA
"6627","MG",3117405,"PT",1378,0.424130501692829,-0.151738996614343,0,NA,NA,NA
"6628","MG",3117504,"PMDB",3338,0.330102848101266,0.0150316455696203,1,5383,0.463292882347878,1
"6629","MG",3117504,"PSDC",3186,0.315071202531646,-0.0150316455696203,0,NA,NA,NA
"6630","MG",3117504,"DEM",2723,0.269284018987342,-0.0608188291139241,0,NA,NA,NA
